AOI,date,TMax,TMin,TMed,HR,Rad,es,eamb,DPV,PAR,S2,GPP,ID,Date,FCOVER,NDVI Average,FAPAR Average
MOR,01/09/2023 00:00,30.9,18.9,24.9,36.8,22.3,31.49988772,11.59195868,1.990792904,10.704,0.21,3.378301128,MOR_4_a_FCOVER,01/09/2023,0.083557074,0.221008971,0.090066517
MOR,06/09/2023 00:00,29.2,18.4,23.8,44.7,22.5,29.4924969,13.18314611,1.630935078,10.8,0.22,0.759437208,MOR_4_a_FCOVER,06/09/2023,0.079824979,0.209010956,0.096950243
MOR,11/09/2023 00:00,26.3,17,21.6,58.6,13.8,25.8099757,15.12464576,1.068532994,6.624,0.24,0.606022774,MOR_4_a_FCOVER,11/09/2023,0.101410091,0.23712034,0.139815345
MOR,16/09/2023 00:00,22.6,15.6,19.1,73.5,11.8,22.11863648,16.25719781,0.586143867,5.664,0.26,0.734195383,MOR_4_a_FCOVER,16/09/2023,0.128671829,0.259568081,0.189178157
MOR,21/09/2023 00:00,21.7,12.9,17.3,75.3,12.9,19.75523511,14.87569204,0.487954307,6.192,0.32,1.236547318,MOR_4_a_FCOVER,21/09/2023,0.199324513,0.29670083,0.26813459
MOR,26/09/2023 00:00,28.8,16.5,22.7,41.8,20.8,27.59764987,11.53581764,1.606183222,9.984,0.36,2.583869933,MOR_4_a_FCOVER,26/09/2023,0.208826292,0.319568486,0.277574601
MOR,01/10/2023 00:00,32.6,18.4,25.5,31.6,20.2,32.64425171,10.31558354,2.232866817,9.696,0.37,1.997446161,MOR_4_a_FCOVER,01/10/2023,0.164696136,0.306970247,0.249482204
MOR,06/10/2023 00:00,32.4,19.2,25.8,27,18.9,33.2299025,8.972073676,2.425782883,9.072,0.34,1.3202082,MOR_4_a_FCOVER,06/10/2023,0.156134142,0.309884855,0.247248556
MOR,11/10/2023 00:00,28.6,14.5,21.6,40.5,17.9,25.8099757,10.45304016,1.535693554,8.592,0.36,1.155640824,MOR_4_a_FCOVER,11/10/2023,0.07551316,0.228446391,0.102932861
MOR,16/10/2023 00:00,22.2,14.3,18.3,75.4,9.1,21.0393377,15.86366063,0.517567707,4.368,0.45,1.531369454,MOR_4_a_FCOVER,16/10/2023,0.110280993,0.367073829,0.18475729
MOR,21/10/2023 00:00,15.5,7.7,11.6,76.5,13.5,13.66443126,10.45328992,0.321114135,6.48,0.55,2.530790568,MOR_4_a_FCOVER,21/10/2023,0.225887653,0.601579075,0.42979791
MOR,26/10/2023 00:00,18.7,12.7,15.7,87.2,7.1,17.84319897,15.5592695,0.228392947,3.408,0.64,2.976374894,MOR_4_a_FCOVER,26/10/2023,0.562719073,0.713260039,0.764680312
MOR,31/10/2023 00:00,14.5,8.8,11.6,73.4,5.1,13.66443126,10.02969255,0.363473872,2.448,0.72,2.597991192,MOR_4_a_FCOVER,31/10/2023,0.700461537,0.759771541,0.847887267
MOR,05/11/2023 00:00,13.7,7.7,10.7,79.3,10.3,12.87186226,10.20738677,0.266447549,4.944,0.77,5.20858512,MOR_4_a_FCOVER,05/11/2023,0.76337253,0.795661731,0.869349346
MOR,10/11/2023 00:00,15.1,7.3,11.2,80.9,10.9,13.3070367,10.76539269,0.254164401,5.232,0.81,6.631670232,MOR_4_a_FCOVER,10/11/2023,0.859998831,0.842868904,0.917281341
MOR,15/11/2023 00:00,21.3,11,16.2,58.5,12.5,18.42248158,10.77715172,0.764532985,6,0.84,4.845550745,MOR_4_a_FCOVER,15/11/2023,0.815935054,0.817650402,0.884466276
MOR,20/11/2023 00:00,19.1,12,15.5,69.5,11.6,17.61599526,12.24311671,0.537287856,5.568,0.81,3.425954184,MOR_4_a_FCOVER,20/11/2023,0.721363495,0.784558892,0.846453647
MOR,25/11/2023 00:00,15,4.7,9.8,62.2,11.5,12.11998753,7.538632243,0.458135529,5.52,0.77,2.754384998,MOR_4_a_FCOVER,25/11/2023,0.675855547,0.698497732,0.774746577
MOR,30/11/2023 00:00,15.9,11.8,13.8,92.9,3.6,15.784913,14.66418418,0.112072882,1.728,0.79,2.850680304,MOR_4_a_FCOVER,30/11/2023,0.675328523,0.760466546,0.807828158
MOR,01/12/2023 00:00,14,4.7,9.4,88.4,7.1,11.79841117,10.42979548,0.13686157,3.408,0.79,3.583634098,MOR_4_b_FCOVER,01/12/2023,0.677438434,0.69852467,0.775373434
MOR,06/12/2023 00:00,11.3,7.9,9.6,93.8,2.7,11.95824867,11.21683725,0.074141142,1.296,0.81,1.982130286,MOR_4_b_FCOVER,06/12/2023,0.675906454,0.761352437,0.80725921
MOR,11/12/2023 00:00,19.9,5.3,12.6,76.2,9,14.59505942,11.12143528,0.347362414,4.32,0.83,4.0891176,MOR_4_b_FCOVER,11/12/2023,0.674253353,0.82658233,0.8631605
MOR,16/12/2023 00:00,14.3,5,9.7,62.1,10.5,12.03887923,7.476144,0.456273523,5.04,0.84,2.946207384,MOR_4_b_FCOVER,16/12/2023,0.669807407,0.843906612,0.881069345
MOR,21/12/2023 00:00,11.7,2.9,7.3,72.9,10.2,10.23019642,7.457813193,0.277238323,4.896,0.83,3.150751608,MOR_4_b_FCOVER,21/12/2023,0.806788416,0.83037132,0.912288635
MOR,26/12/2023 00:00,8.5,-2.5,3,94.4,10.8,7.580144527,7.155656433,0.042448809,5.184,0.83,2.624405759,MOR_4_b_FCOVER,26/12/2023,0.80376248,0.830527638,0.916107694
MOR,31/12/2023 00:00,11.8,4.4,8.1,84.7,6.2,10.80450793,9.151418217,0.165308971,2.976,0.83,3.132348399,MOR_4_b_FCOVER,31/12/2023,0.79536985,0.827738842,0.915088276
MOR,05/01/2024 00:00,8.3,4,6.1,86.3,6.4,9.419114393,8.128695721,0.129041867,3.072,0.84,2.595226392,MOR_4_b_FCOVER,05/01/2024,0.784848501,0.784984819,0.921129062
MOR,10/01/2024 00:00,9.2,5.1,7.1,95.1,3.6,10.09088955,9.596435967,0.049445359,1.728,0.84,2.32325928,MOR_4_b_FCOVER,10/01/2024,0.807512801,0.845679453,0.92918259
MOR,15/01/2024 00:00,15.8,10,12.9,92.3,4.1,14.88488751,13.73875118,0.114613634,1.968,0.84,3.153436596,MOR_4_b_FCOVER,15/01/2024,0.778259047,0.851112859,0.916317594
MOR,20/01/2024 00:00,7.7,3,5.3,87.8,4.2,8.910395347,7.823327114,0.108706823,2.016,0.84,3.847218163,MOR_4_b_FCOVER,20/01/2024,0.783922207,0.832173141,0.902502797
MOR,25/01/2024 00:00,23.7,11.9,17.8,53.6,12.3,20.38843714,10.92820231,0.946023484,5.904,0.84,3.32009388,MOR_4_b_FCOVER,25/01/2024,0.80376649,0.812719951,0.894280501
MOR,30/01/2024 00:00,16.2,6.4,11.3,83,12.5,13.39560641,11.11835332,0.227725309,6,0.84,4.472717033,MOR_4_b_FCOVER,30/01/2024,0.826000944,0.826196764,0.913344748
MOR,04/02/2024 00:00,17.2,7.4,12.3,58.5,13.6,14.31019823,8.371465967,0.593873227,6.528,0.82,4.865915074,MOR_4_b_FCOVER,04/02/2024,0.874745699,0.837084649,0.92379323
MOR,09/02/2024 00:00,11.2,7.5,9.4,94.2,2.3,11.79841117,11.11410333,0.068430785,1.104,0.81,2.5014366,MOR_4_b_FCOVER,09/02/2024,0.846511437,0.812528153,0.908978147
MOR,14/02/2024 00:00,21,11.8,16.4,72.4,11.7,18.65876874,13.50894857,0.514982017,5.616,0.8,5.75223984,MOR_4_b_FCOVER,14/02/2024,0.42192101,0.811091012,0.646371578
MOR,15/02/2024 00:00,17,7.4,12.2,74.5,4.1,14.21633567,10.59117008,0.36251656,1.968,0.8,2.574726912,MOR_4_c_FCOVER,15/02/2024,0.88340344,0.794877797,0.895861218
MOR,20/02/2024 00:00,18.9,8.2,13.5,64.8,16.9,15.47973945,10.03087116,0.544886828,8.112,0.83,6.9360354,MOR_4_c_FCOVER,20/02/2024,0.88779665,0.830681364,0.910687437
MOR,25/02/2024 00:00,12.3,7,9.7,88.2,7.3,12.03887923,10.61829148,0.142058775,3.504,0.81,3.995674834,MOR_4_c_FCOVER,25/02/2024,0.903783162,0.800573359,0.906457265
MOR,01/03/2024 00:00,10.6,0.1,5.4,73.1,18.6,8.97263093,6.55899321,0.241363772,8.928,0.81,6.784532136,MOR_4_c_FCOVER,01/03/2024,0.892202228,0.810337196,0.904206753
MOR,06/03/2024 00:00,15.7,4.7,10.2,57.8,19.4,12.44924659,7.195664531,0.525358206,9.312,0.78,6.200294926,MOR_4_c_FCOVER,06/03/2024,0.880949378,0.784813235,0.884326329
MOR,11/03/2024 00:00,12.7,4.3,8.5,81.5,16.3,11.102163,9.048262849,0.205390016,7.824,0.76,5.608608048,MOR_4_c_FCOVER,11/03/2024,0.812230041,0.771372358,0.846497804
MOR,16/03/2024 00:00,21.2,11.6,16.4,67.4,18.3,18.65876874,12.57601013,0.608275861,8.784,0.74,6.207847128,MOR_4_c_FCOVER,16/03/2024,0.771636754,0.739332676,0.797803164
MOR,21/03/2024 00:00,22.7,11,16.9,66.3,18.3,19.26114082,12.77013636,0.649100446,8.784,0.75,8.51591232,MOR_4_c_FCOVER,21/03/2024,0.758993516,0.755612979,0.7979093
MOR,26/03/2024 00:00,8.9,3.1,6,81.4,14.8,9.354155951,7.614282944,0.173987301,7.104,0.75,7.530676784,MOR_4_c_FCOVER,26/03/2024,0.74886482,0.770219038,0.800967117
